SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,PRI_COM_NAME_INDXD,AUTHORITY_CODE,AUTHORITY_VER,TAXON_ORDER,SPARSE_REPORT_AS,REPORT_AS,CATEGORY,ORDER1,FAMILY,EXTINCT,EXTINCT_YEAR,TAXON_CODE
blaber1,Melanocharis nigra,Black Berrypecker,"Berrypecker, Black",EBIRD,2017.02,16439,,blaber1,species,Passeriformes,Melanocharitidae (Berrypeckers and Longbills),0,,TC006974
sugspa1,Passer luteus,Sudan Golden Sparrow,"Sparrow, Sudan Golden",EBIRD,2017.02,31413,,sugspa1,species,Passeriformes,Passeridae (Old World Sparrows),0,,TC011902
blkred2,Phoenicurus ochruros gibraltariensis/aterrimus,Black Redstart (Western),"Redstart, Black (Western)",EBIRD,2017.02,23403.0777,blared1,blared1,issf,Passeriformes,Muscicapidae (Old World Flycatchers),0,,TC012294
mouwag1,Motacilla clara,Mountain Wagtail,"Wagtail, Mountain",EBIRD,2017.02,27514,,mouwag1,species,Passeriformes,Motacillidae (Wagtails and Pipits),0,,TC010370
shtpip1,Anthus brachyurus,Short-tailed Pipit,"Pipit, Short-tailed",EBIRD,2017.02,27702,,shtpip1,species,Passeriformes,Motacillidae (Wagtails and Pipits),0,,TC010430
scawea1,Sporopipes squamifrons,Scaly Weaver,"Weaver, Scaly",EBIRD,2017.02,31472,,scawea1,species,Passeriformes,Ploceidae (Weavers and Allies),0,,TC011924
ruewea1,Ploceus galbula,Rüppell's Weaver,"Weaver, Rüppell's",EBIRD,2017.02,31582,,ruewea1,species,Passeriformes,Ploceidae (Weavers and Allies),0,,TC011976
revmal1,Malimbus scutatus,Red-vented Malimbe,"Malimbe, Red-vented",EBIRD,2017.02,31491,,revmal1,species,Passeriformes,Ploceidae (Weavers and Allies),0,,TC011937
whwwid1,Euplectes albonotatus,White-winged Widowbird,"Widowbird, White-winged",EBIRD,2017.02,31702,,whwwid1,species,Passeriformes,Ploceidae (Weavers and Allies),0,,TC012032
pettwi1,Hypargos niveoguttatus,Peters's Twinspot,"Twinspot, Peters's",EBIRD,2017.02,31868,,pettwi1,species,Passeriformes,Estrildidae (Waxbills and Allies),0,,TC012089
ficmun1,Lonchura quinticolor,Five-colored Munia,"Munia, Five-colored",EBIRD,2017.02,32098,,ficmun1,species,Passeriformes,Estrildidae (Waxbills and Allies),0,,TC012169
pawind1,Vidua wilsoni,Wilson's Indigobird,"Indigobird, Wilson's",EBIRD,2017.02,32166,,pawind1,species,Passeriformes,Viduidae (Indigobirds),0,,TC012202
bltcan1,Crithagra atrogularis,Black-throated Canary,"Canary, Black-throated",EBIRD,2017.02,30960.1,,bltcan1,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",0,,TC011790
hoosis1,Spinus magellanicus,Hooded Siskin,"Siskin, Hooded",EBIRD,2017.02,31056,,hoosis1,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",0,,TC011750
palros2,Carpodacus roseus,Pallas's Rosefinch,"Rosefinch, Pallas's",EBIRD,2017.02,30864.21,,palros2,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",0,,TC011686
lalbun1,Emberiza impetuani,Lark-like Bunting,"Bunting, Lark-like",EBIRD,2017.02,30042,,lalbun1,species,Passeriformes,Emberizidae (Old World Buntings),0,,TC011345
wrbfin1,Atlapetes leucopis,White-rimmed Brushfinch,"Brushfinch, White-rimmed",EBIRD,2017.02,29984.97,,wrbfin1,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),0,,TC011144
crfcar1,Paroaria baeri,Crimson-fronted Cardinal,"Cardinal, Crimson-fronted",EBIRD,2017.02,28193.75,,crfcar1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC011094
tamcon1,Conirostrum tamarugense,Tamarugo Conebill,"Conebill, Tamarugo",EBIRD,2017.02,28822,,tamcon1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC010714
drahem1,Pseudospingus xanthophthalmus,Drab Hemispingus,"Hemispingus, Drab",EBIRD,2017.02,28980.5,,drahem1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC010690
yectan1,Tachyphonus rufiventer,Yellow-crested Tanager,"Tanager, Yellow-crested",EBIRD,2017.02,28306,,yectan1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC010746
lamtan1,Anisognathus lacrymosus,Lacrimose Mountain-Tanager,"Tanager, Lacrimose Mountain-",EBIRD,2017.02,28421.31,,lamtan1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC010796
puteup1,Euphonia chlorotica,Purple-throated Euphonia,"Euphonia, Purple-throated",EBIRD,2017.02,30722,,puteup1,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",0,,TC011617
bubtan2,Tangara cayana,Burnished-buff Tanager,"Tanager, Burnished-buff",EBIRD,2017.02,28568,,bubtan2,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC010843
cocfin2,Charitospiza eucosma,Coal-crested Finch,"Finch, Coal-crested",EBIRD,2017.02,29174,,cocfin2,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC011096
bbifin1,Incaspiza laeta,Buff-bridled Inca-Finch,"Finch, Buff-bridled Inca-",EBIRD,2017.02,28978,,bbifin1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC010945
chyfin1,Sicalis luteocephala,Citron-headed Yellow-Finch,"Finch, Citron-headed Yellow-",EBIRD,2017.02,29016,,chyfin1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC011068
bufsee1,Sporophila frontalis,Buffy-fronted Seedeater,"Seedeater, Buffy-fronted",EBIRD,2017.02,29157.34,,bufsee1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC010967
tabsee1,Sporophila hypoxantha,Tawny-bellied Seedeater,"Seedeater, Tawny-bellied",EBIRD,2017.02,29134,,tabsee1,species,Passeriformes,Thraupidae (Tanagers and Allies),0,,TC010992
